-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 250.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  500 nodes
   Temperature:                                         443.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        301.2391 g/mol
   Mass density:                                          0.9903 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                             1000           steps
   Output computes every:                                   5000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Field andersen fraction:                          0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                  10000000 iterations
   Andersen_after_iter:                                     1000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                        Simpson rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   339.000000000 monomers
   Chain characteristic ratio C_infinity:                 2.2965
   Bond length:                                           7.9640 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   315.000000000 monomers
   Chain characteristic ratio C_infinity:                 1.7883
   Bond length:                                           7.9640 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                            339.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=0
   mxa boundary condition for hi edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for lo edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for hi edge:                 Dirichlet q=0
   Critical lo position of adsorbed segs             0.000000000 Angstrom
   Critical hi position of adsorbed segs             0.000000000 Angstrom
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                             0.041610000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   Side of the solid wall:                             lo and hi
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
   fh_nr:                                                      5
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                              90.7167 Angstrom
   mxa nodes along chain contour:                             68 nodes
   mxb radious of gyration:                              77.1668 Angstrom
   mxb nodes along chain contour:                             64 nodes
   molar density in bulk                               3287.4216 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
           132000    0.1558247E+01    0.1975264E-05    0.0000000E+00    0.0000000E+00    0.4972608E-03    0.1036069E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           133000    0.1558251E+01    0.2006480E-05    0.0000000E+00    0.0000000E+00    0.4972859E-03    0.1036042E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           134000    0.1558247E+01    0.1972631E-05    0.0000000E+00    0.0000000E+00    0.4972589E-03    0.1036071E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           135000    0.1558248E+01    0.2025260E-05    0.0000000E+00    0.0000000E+00    0.4972602E-03    0.1036069E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           136000    0.1558244E+01    0.2008941E-05    0.0000000E+00    0.0000000E+00    0.4972488E-03    0.1036082E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           137000    0.1558242E+01    0.1924868E-05    0.0000000E+00    0.0000000E+00    0.4972530E-03    0.1036078E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           138000    0.1558249E+01    0.1921186E-05    0.0000000E+00    0.0000000E+00    0.4972748E-03    0.1036054E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           139000    0.1558251E+01    0.1925962E-05    0.0000000E+00    0.0000000E+00    0.4972821E-03    0.1036046E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           140000    0.1558249E+01    0.1726378E-05    0.0000000E+00    0.0000000E+00    0.4972760E-03    0.1036052E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           141000    0.1558251E+01    0.1816731E-05    0.0000000E+00    0.0000000E+00    0.4972798E-03    0.1036049E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           142000    0.1558253E+01    0.1779641E-05    0.0000000E+00    0.0000000E+00    0.4972957E-03    0.1036032E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           143000    0.1558256E+01    0.1641816E-05    0.0000000E+00    0.0000000E+00    0.4973028E-03    0.1036024E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           144000    0.1558254E+01    0.1625388E-05    0.0000000E+00    0.0000000E+00    0.4972964E-03    0.1036031E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           145000    0.1558255E+01    0.1667226E-05    0.0000000E+00    0.0000000E+00    0.4973007E-03    0.1036026E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           146000    0.1558257E+01    0.1661634E-05    0.0000000E+00    0.0000000E+00    0.4973102E-03    0.1036016E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           147000    0.1558267E+01    0.1480027E-05    0.0000000E+00    0.0000000E+00    0.4973558E-03    0.1035967E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           148000    0.1558264E+01    0.1426548E-05    0.0000000E+00    0.0000000E+00    0.4973405E-03    0.1035983E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           149000    0.1558264E+01    0.1432365E-05    0.0000000E+00    0.0000000E+00    0.4973392E-03    0.1035984E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           150000    0.1558256E+01    0.1376186E-05    0.0000000E+00    0.0000000E+00    0.4973035E-03    0.1036023E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           151000    0.1558254E+01    0.1353024E-05    0.0000000E+00    0.0000000E+00    0.4972942E-03    0.1036033E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           152000    0.1558254E+01    0.1350917E-05    0.0000000E+00    0.0000000E+00    0.4972925E-03    0.1036035E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           153000    0.1558253E+01    0.1341675E-05    0.0000000E+00    0.0000000E+00    0.4972873E-03    0.1036040E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           154000    0.1558254E+01    0.1348930E-05    0.0000000E+00    0.0000000E+00    0.4972930E-03    0.1036034E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           155000    0.1558250E+01    0.1290758E-05    0.0000000E+00    0.0000000E+00    0.4972775E-03    0.1036051E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           156000    0.1558250E+01    0.1264072E-05    0.0000000E+00    0.0000000E+00    0.4972810E-03    0.1036047E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           157000    0.1558248E+01    0.1208955E-05    0.0000000E+00    0.0000000E+00    0.4972712E-03    0.1036058E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           158000    0.1558250E+01    0.1233098E-05    0.0000000E+00    0.0000000E+00    0.4972772E-03    0.1036051E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           159000    0.1558251E+01    0.1226383E-05    0.0000000E+00    0.0000000E+00    0.4972779E-03    0.1036050E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           160000    0.1558252E+01    0.1219929E-05    0.0000000E+00    0.0000000E+00    0.4972866E-03    0.1036041E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           161000    0.1558254E+01    0.1212191E-05    0.0000000E+00    0.0000000E+00    0.4972921E-03    0.1036035E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           162000    0.1558253E+01    0.1190326E-05    0.0000000E+00    0.0000000E+00    0.4972903E-03    0.1036037E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           163000    0.1558252E+01    0.1168234E-05    0.0000000E+00    0.0000000E+00    0.4972857E-03    0.1036042E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           164000    0.1558253E+01    0.1170915E-05    0.0000000E+00    0.0000000E+00    0.4972885E-03    0.1036039E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           165000    0.1558253E+01    0.1189192E-05    0.0000000E+00    0.0000000E+00    0.4972918E-03    0.1036035E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           166000    0.1558255E+01    0.1222184E-05    0.0000000E+00    0.0000000E+00    0.4973002E-03    0.1036026E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           167000    0.1558255E+01    0.1215639E-05    0.0000000E+00    0.0000000E+00    0.4973025E-03    0.1036024E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           168000    0.1558255E+01    0.1191571E-05    0.0000000E+00    0.0000000E+00    0.4973006E-03    0.1036025E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           169000    0.1558256E+01    0.1187367E-05    0.0000000E+00    0.0000000E+00    0.4973011E-03    0.1036025E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           170000    0.1558255E+01    0.1130640E-05    0.0000000E+00    0.0000000E+00    0.4972957E-03    0.1036031E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           171000    0.1558253E+01    0.1112480E-05    0.0000000E+00    0.0000000E+00    0.4972902E-03    0.1036037E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           172000    0.1558254E+01    0.1121142E-05    0.0000000E+00    0.0000000E+00    0.4972921E-03    0.1036035E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           173000    0.1558255E+01    0.1117469E-05    0.0000000E+00    0.0000000E+00    0.4972961E-03    0.1036031E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           174000    0.1558255E+01    0.1099017E-05    0.0000000E+00    0.0000000E+00    0.4972981E-03    0.1036028E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           175000    0.1558256E+01    0.1125340E-05    0.0000000E+00    0.0000000E+00    0.4973050E-03    0.1036021E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           176000    0.1558257E+01    0.1120594E-05    0.0000000E+00    0.0000000E+00    0.4973073E-03    0.1036018E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           177000    0.1558259E+01    0.1013100E-05    0.0000000E+00    0.0000000E+00    0.4973188E-03    0.1036006E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           178000    0.1558259E+01    0.1016735E-05    0.0000000E+00    0.0000000E+00    0.4973164E-03    0.1036008E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           179000    0.1558259E+01    0.1048423E-05    0.0000000E+00    0.0000000E+00    0.4973189E-03    0.1036006E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           180000    0.1558259E+01    0.1036013E-05    0.0000000E+00    0.0000000E+00    0.4973144E-03    0.1036011E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           181000    0.1558258E+01    0.1024600E-05    0.0000000E+00    0.0000000E+00    0.4973124E-03    0.1036013E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           182000    0.1558258E+01    0.1025327E-05    0.0000000E+00    0.0000000E+00    0.4973124E-03    0.1036013E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           183000    0.1558257E+01    0.1019194E-05    0.0000000E+00    0.0000000E+00    0.4973100E-03    0.1036016E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           184000    0.1558258E+01    0.1027503E-05    0.0000000E+00    0.0000000E+00    0.4973116E-03    0.1036014E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           185000    0.1558258E+01    0.1026086E-05    0.0000000E+00    0.0000000E+00    0.4973112E-03    0.1036014E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           186000    0.1558257E+01    0.1020136E-05    0.0000000E+00    0.0000000E+00    0.4973085E-03    0.1036017E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           187000    0.1558259E+01    0.1030386E-05    0.0000000E+00    0.0000000E+00    0.4973171E-03    0.1036008E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           188000    0.1558261E+01    0.1029750E-05    0.0000000E+00    0.0000000E+00    0.4973275E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           189000    0.1558265E+01    0.8815213E-06    0.0000000E+00    0.0000000E+00    0.4973421E-03    0.1035981E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           190000    0.1558263E+01    0.8373308E-06    0.0000000E+00    0.0000000E+00    0.4973366E-03    0.1035987E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           191000    0.1558259E+01    0.4858417E-06    0.0000000E+00    0.0000000E+00    0.4973165E-03    0.1036008E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           192000    0.1558261E+01    0.4911036E-06    0.0000000E+00    0.0000000E+00    0.4973256E-03    0.1035999E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           193000    0.1558260E+01    0.4482526E-06    0.0000000E+00    0.0000000E+00    0.4973205E-03    0.1036004E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           194000    0.1558260E+01    0.4500684E-06    0.0000000E+00    0.0000000E+00    0.4973210E-03    0.1036003E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           195000    0.1558260E+01    0.4180385E-06    0.0000000E+00    0.0000000E+00    0.4973183E-03    0.1036006E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           196000    0.1558259E+01    0.3790157E-06    0.0000000E+00    0.0000000E+00    0.4973145E-03    0.1036010E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           197000    0.1558259E+01    0.4032094E-06    0.0000000E+00    0.0000000E+00    0.4973178E-03    0.1036007E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           198000    0.1558260E+01    0.4020266E-06    0.0000000E+00    0.0000000E+00    0.4973184E-03    0.1036006E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           199000    0.1558260E+01    0.4178950E-06    0.0000000E+00    0.0000000E+00    0.4973213E-03    0.1036003E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           200000    0.1558261E+01    0.4085853E-06    0.0000000E+00    0.0000000E+00    0.4973257E-03    0.1035998E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           201000    0.1558263E+01    0.2975500E-06    0.0000000E+00    0.0000000E+00    0.4973350E-03    0.1035988E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           202000    0.1558261E+01    0.3065903E-06    0.0000000E+00    0.0000000E+00    0.4973260E-03    0.1035998E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           203000    0.1558262E+01    0.2971071E-06    0.0000000E+00    0.0000000E+00    0.4973285E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           204000    0.1558261E+01    0.2877948E-06    0.0000000E+00    0.0000000E+00    0.4973274E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           205000    0.1558261E+01    0.2919924E-06    0.0000000E+00    0.0000000E+00    0.4973282E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           206000    0.1558262E+01    0.3124287E-06    0.0000000E+00    0.0000000E+00    0.4973285E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           207000    0.1558263E+01    0.3261805E-06    0.0000000E+00    0.0000000E+00    0.4973339E-03    0.1035990E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           208000    0.1558263E+01    0.3271264E-06    0.0000000E+00    0.0000000E+00    0.4973344E-03    0.1035989E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           209000    0.1558263E+01    0.3256125E-06    0.0000000E+00    0.0000000E+00    0.4973341E-03    0.1035989E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           210000    0.1558263E+01    0.3231453E-06    0.0000000E+00    0.0000000E+00    0.4973333E-03    0.1035990E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           211000    0.1558263E+01    0.3221249E-06    0.0000000E+00    0.0000000E+00    0.4973338E-03    0.1035990E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           212000    0.1558262E+01    0.3260515E-06    0.0000000E+00    0.0000000E+00    0.4973319E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           213000    0.1558261E+01    0.3283048E-06    0.0000000E+00    0.0000000E+00    0.4973265E-03    0.1035998E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           214000    0.1558262E+01    0.3290442E-06    0.0000000E+00    0.0000000E+00    0.4973276E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           215000    0.1558262E+01    0.3249721E-06    0.0000000E+00    0.0000000E+00    0.4973284E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           216000    0.1558262E+01    0.3134469E-06    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           217000    0.1558262E+01    0.3089996E-06    0.0000000E+00    0.0000000E+00    0.4973308E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           218000    0.1558261E+01    0.2984512E-06    0.0000000E+00    0.0000000E+00    0.4973255E-03    0.1035999E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           219000    0.1558261E+01    0.2867156E-06    0.0000000E+00    0.0000000E+00    0.4973252E-03    0.1035999E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           220000    0.1558261E+01    0.2793621E-06    0.0000000E+00    0.0000000E+00    0.4973250E-03    0.1035999E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           221000    0.1558262E+01    0.2749773E-06    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           222000    0.1558262E+01    0.2661971E-06    0.0000000E+00    0.0000000E+00    0.4973294E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           223000    0.1558262E+01    0.2640793E-06    0.0000000E+00    0.0000000E+00    0.4973293E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           224000    0.1558262E+01    0.2518593E-06    0.0000000E+00    0.0000000E+00    0.4973297E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           225000    0.1558262E+01    0.2466998E-06    0.0000000E+00    0.0000000E+00    0.4973312E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           226000    0.1558262E+01    0.2425698E-06    0.0000000E+00    0.0000000E+00    0.4973318E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           227000    0.1558262E+01    0.2306980E-06    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           228000    0.1558263E+01    0.2056958E-06    0.0000000E+00    0.0000000E+00    0.4973333E-03    0.1035990E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           229000    0.1558263E+01    0.2098118E-06    0.0000000E+00    0.0000000E+00    0.4973330E-03    0.1035991E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           230000    0.1558262E+01    0.2063980E-06    0.0000000E+00    0.0000000E+00    0.4973312E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           231000    0.1558263E+01    0.1976605E-06    0.0000000E+00    0.0000000E+00    0.4973339E-03    0.1035990E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           232000    0.1558263E+01    0.1994691E-06    0.0000000E+00    0.0000000E+00    0.4973335E-03    0.1035990E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           233000    0.1558262E+01    0.1805106E-06    0.0000000E+00    0.0000000E+00    0.4973277E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           234000    0.1558262E+01    0.1675232E-06    0.0000000E+00    0.0000000E+00    0.4973276E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           235000    0.1558262E+01    0.1656571E-06    0.0000000E+00    0.0000000E+00    0.4973287E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           236000    0.1558262E+01    0.1611905E-06    0.0000000E+00    0.0000000E+00    0.4973281E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           237000    0.1558262E+01    0.1415017E-06    0.0000000E+00    0.0000000E+00    0.4973292E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           238000    0.1558262E+01    0.1297167E-06    0.0000000E+00    0.0000000E+00    0.4973288E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           239000    0.1558262E+01    0.1299406E-06    0.0000000E+00    0.0000000E+00    0.4973287E-03    0.1035995E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           240000    0.1558262E+01    0.1250993E-06    0.0000000E+00    0.0000000E+00    0.4973274E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           241000    0.1558261E+01    0.1234986E-06    0.0000000E+00    0.0000000E+00    0.4973270E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           242000    0.1558261E+01    0.1248485E-06    0.0000000E+00    0.0000000E+00    0.4973273E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           243000    0.1558262E+01    0.1283471E-06    0.0000000E+00    0.0000000E+00    0.4973276E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           244000    0.1558261E+01    0.1247643E-06    0.0000000E+00    0.0000000E+00    0.4973269E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           245000    0.1558261E+01    0.1265698E-06    0.0000000E+00    0.0000000E+00    0.4973272E-03    0.1035997E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           246000    0.1558262E+01    0.1244103E-06    0.0000000E+00    0.0000000E+00    0.4973276E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           247000    0.1558262E+01    0.1254553E-06    0.0000000E+00    0.0000000E+00    0.4973283E-03    0.1035996E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           248000    0.1558262E+01    0.1268746E-06    0.0000000E+00    0.0000000E+00    0.4973305E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           249000    0.1558262E+01    0.1231775E-06    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           250000    0.1558262E+01    0.1120546E-06    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           251000    0.1558262E+01    0.7529039E-07    0.0000000E+00    0.0000000E+00    0.4973312E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           252000    0.1558263E+01    0.6115156E-07    0.0000000E+00    0.0000000E+00    0.4973328E-03    0.1035991E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           253000    0.1558263E+01    0.6187731E-07    0.0000000E+00    0.0000000E+00    0.4973328E-03    0.1035991E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           254000    0.1558263E+01    0.6536286E-07    0.0000000E+00    0.0000000E+00    0.4973321E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           255000    0.1558262E+01    0.5805090E-07    0.0000000E+00    0.0000000E+00    0.4973310E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           256000    0.1558262E+01    0.5547903E-07    0.0000000E+00    0.0000000E+00    0.4973309E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           257000    0.1558262E+01    0.5402217E-07    0.0000000E+00    0.0000000E+00    0.4973310E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           258000    0.1558262E+01    0.4995681E-07    0.0000000E+00    0.0000000E+00    0.4973308E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           259000    0.1558262E+01    0.4967860E-07    0.0000000E+00    0.0000000E+00    0.4973306E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           260000    0.1558262E+01    0.5486907E-07    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           261000    0.1558262E+01    0.5258916E-07    0.0000000E+00    0.0000000E+00    0.4973293E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           262000    0.1558262E+01    0.5390717E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           263000    0.1558262E+01    0.4139156E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           264000    0.1558262E+01    0.4129696E-07    0.0000000E+00    0.0000000E+00    0.4973308E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           265000    0.1558262E+01    0.4354026E-07    0.0000000E+00    0.0000000E+00    0.4973304E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           266000    0.1558262E+01    0.4327775E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           267000    0.1558262E+01    0.4283870E-07    0.0000000E+00    0.0000000E+00    0.4973302E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           268000    0.1558262E+01    0.4327296E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           269000    0.1558262E+01    0.4231726E-07    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           270000    0.1558262E+01    0.4258777E-07    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           271000    0.1558262E+01    0.4035789E-07    0.0000000E+00    0.0000000E+00    0.4973311E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           272000    0.1558262E+01    0.3972501E-07    0.0000000E+00    0.0000000E+00    0.4973312E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           273000    0.1558262E+01    0.3968560E-07    0.0000000E+00    0.0000000E+00    0.4973308E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           274000    0.1558262E+01    0.3943236E-07    0.0000000E+00    0.0000000E+00    0.4973310E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           275000    0.1558262E+01    0.3981219E-07    0.0000000E+00    0.0000000E+00    0.4973311E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           276000    0.1558262E+01    0.4023440E-07    0.0000000E+00    0.0000000E+00    0.4973308E-03    0.1035993E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           277000    0.1558262E+01    0.3777401E-07    0.0000000E+00    0.0000000E+00    0.4973316E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           278000    0.1558262E+01    0.3894291E-07    0.0000000E+00    0.0000000E+00    0.4973315E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           279000    0.1558262E+01    0.3877614E-07    0.0000000E+00    0.0000000E+00    0.4973316E-03    0.1035992E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
